threshold	method	taxon	consensus_module	mean_assignment_entropy	sites_present
prev_3	bicor	S__Schulz_GVMAG_S_403982_53	M10	1.4722193	2
prev_3	bicor	S__Schulz_GVMAG_S_403983_43	M10	1.4722193	2
prev_3	bicor	S__Schulz_GVMAG_S_405408_30	M10	2.208329	1
prev_3	bicor	S__TARA_AON_NCLDV_00003	M10	2.208329	1
prev_3	bicor	S__TARA_AOS_82_MAG_00110	M10	2.208329	1
prev_3	bicor	S__TARA_ARC_108_MAG_00021	M10	0.0	4
prev_3	bicor	S__TARA_ARC_108_MAG_00032	M10	2.208329	1
prev_3	bicor	S__TARA_ARC_108_MAG_00033	M10	0.0	4
prev_3	bicor	S__TARA_ARC_108_MAG_00037	M10	2.208329	1
prev_3	bicor	S__TARA_ARC_108_MAG_00043	M10	2.208329	1
prev_3	bicor	S__TARA_ARC_108_MAG_00066	M10	1.4722193	2
prev_3	bicor	S__TARA_ARC_108_MAG_00082	M10	1.4722193	2
prev_3	bicor	S__TARA_ARC_108_MAG_00099	M10	0.0	4
prev_3	bicor	S__TARA_ARC_108_MAG_00128	M10	2.208329	1
prev_3	bicor	S__TARA_ARC_108_MAG_00146	M10	0.0	4
prev_3	bicor	S__TARA_ARC_108_MAG_00181	M10	0.7361097	3
prev_3	bicor	S__TARA_ARC_108_MAG_00198	M10	2.208329	1
prev_3	bicor	S__TARA_ARC_NCLDV_00033	M10	0.7361097	3
prev_3	bicor	S__TARA_ARC_NCLDV_00036	M10	1.4722193	2
prev_3	bicor	S__TARA_ARC_NCLDV_00116	M10	0.7361097	3
prev_3	bicor	S__TARA_ARC_NCLDV_00117	M10	1.4722193	2
prev_3	bicor	S__TARA_ARC_NCLDV_00127	M10	0.0	4
prev_3	bicor	S__TARA_ARC_NCLDV_00137	M10	1.4722193	2
prev_3	bicor	S__TARA_ARC_NCLDV_00176	M10	1.4722193	2
prev_3	bicor	S__TARA_ARC_NCLDV_00188	M10	0.7358688	4
prev_3	bicor	S__TARA_PSE_93_MAG_00185	M10	2.208329	1
prev_3	bicor	S__TARA_SOC_28_MAG_00007	M10	1.4722193	2
prev_3	bicor	S__TARA_SOC_28_MAG_00016	M10	0.7361097	3
prev_3	bicor	S__TARA_SOC_28_MAG_00024	M10	1.4722193	2
prev_3	bicor	S__TARA_SOC_NCLDV_00026	M10	0.0	4
