taxon	threshold	method	module_kmeans	embedding_1	embedding_2	pca_1	pca_2	module_entropy_proxy	module_count	silhouette	mis_context_mean	mis_context_sd	mis_context_min	mis_context_max	mis_context_weight_sum	mis_context_core_count	mis_context_glacial_fraction	mis_context_class
S__GCA_011055585.1	prev_3	bicor	M1	1.9138	1.9602027	-1.726979	-2.1920938	0.0	4	0.5592696666717529	4.146995224969771	0.4257104521072536	3.120315	5.01406	8753947.364476034	4	0.650356923958709	glacial_like
S__GCA_012959275.1	prev_3	bicor	M3	2.6524749	2.4488635	0.39522314	1.399271	0.0	4	0.5592696666717529	4.1524013757152	0.4233611535420909	3.203925	5.01406	15179.945833333295	2	0.6559207638806351	glacial_like
S__GCA_012960055.1	prev_3	bicor	M2	2.1765916	2.2794797	1.3734305	-0.18767357	0.0	4	0.5592696666717529	4.156561005799416	0.42474705331667323	3.203925	5.01406	11757.30597826087	2	0.6583389430891791	glacial_like
S__GCA_012960805.1	prev_3	bicor	M1	2.1621504	2.0772736	-1.9067252	-0.46169567	0.0	4	0.5592696666717529	4.1560354844754555	0.42741354555793815	3.120315	5.01406	525677.1884531773	4	0.6563951736170972	glacial_like
S__GCA_012960835.1	prev_3	bicor	M3	2.6068404	2.4192717	-0.57723486	1.5080652	0.0	4	0.5592696666717529	4.15199880865937	0.42322461619754687	3.203925	5.01406	14780.586956521742	2	0.6556867336268049	glacial_like
S__GCA_012961035.1	prev_3	bicor	M3	2.669863	2.4572017	0.3108716	1.4694414	0.0	4	0.5592696666717529	4.149703208059924	0.42243785048180066	3.203925	5.01406	18661.446739130435	2	0.6543521982166093	glacial_like
S__GCA_012964335.1	prev_3	bicor	M1	2.0767112	2.2342076	-1.7628734	-0.19054604	0.0	4	0.5592696666717529	4.166241166647774	0.42957583580499603	3.120315	5.01406	177520.21880434785	4	0.6629349733477053	glacial_like
S__GCA_012964845.1	prev_3	bicor	M3	2.3733966	2.2745492	-1.3053077	0.80628395	0.0	4	0.5592696666717529	4.194503435605312	0.4364447688235858	3.120315	5.01406	106878.05134057975	3	0.6797561172909807	glacial_like
S__GCA_012974305.1	prev_3	bicor	M1	1.8504457	2.1022863	-2.1688962	-1.048481	0.0	4	0.5592696666717529	4.127905867659815	0.4230491351949895	3.120315	5.01406	954906.2943143819	3	0.6366958950273577	glacial_like
S__GCA_012974425.1	prev_3	bicor	M3	2.4918745	2.360081	-1.0671959	1.0891447	0.0	4	0.5592696666717529	4.167148071572079	0.42913028595975705	3.120315	5.01406	49836.838712374585	3	0.6638762878981455	glacial_like
S__GCA_013203245.1	prev_3	bicor	M1	2.1923618	2.247163	-1.6474165	0.19149017	0.0	4	0.5592696666717529	4.1628892901940615	0.42676911990129407	3.203925	5.01406	39334.685326086954	2	0.6620178581462999	glacial_like
S__GCA_013215285.1	prev_3	bicor	M4	0.8056409	0.9545906	-0.32100523	-6.3597627	0.0	4	0.5592696666717529	4.177458377948213	0.43363988723857	3.120315	5.01406	1588591.3798885166	4	0.6689634142187769	glacial_like
S__GCA_013390475.1	prev_3	bicor	M1	1.959165	2.0139287	-2.1348445	-0.98237133	0.0	4	0.5592696666717529	4.165099624342719	0.4311014698992703	3.120315	5.01406	1356185.0907441468	4	0.661179716852398	glacial_like
S__GCA_013390745.1	prev_3	bicor	M3	2.5587783	2.3995218	0.7124553	1.0163708	0.0	4	0.5592696666717529	4.229475142383435	0.4420336527405841	3.203925	5.01406	18106.044565217388	2	0.700727195295878	glacial_like
S__GCA_013911135.1	prev_3	bicor	M4	1.2556694	1.4908559	-2.124451	-3.6733265	0.0	4	0.5592696666717529	4.164054169715349	0.43094449418857755	3.120315	5.01406	2961902.793386287	4	0.6604786341141009	glacial_like
S__GCA_014238785.1	prev_3	bicor	M3	2.6119738	2.429578	-0.47335434	1.5513029	0.0	4	0.5592696666717529	4.149611407080998	0.4224060978532838	3.203925	5.01406	19412.55489130435	2	0.6542988301973223	glacial_like
S__GCA_014384445.1	prev_3	bicor	M3	2.654457	2.454016	-0.28428793	1.6069155	0.0	4	0.5592696666717529	4.1747291712920775	0.4302768995138309	3.203925	5.01406	14038.616123188414	2	0.6689009111397585	glacial_like
S__GCA_014384505.1	prev_3	bicor	M1	1.9039555	2.260256	-1.8120888	-0.5070858	0.0	4	0.5592696666717529	4.158429045941986	0.4279720373597932	3.120315	5.01406	292135.1430351171	4	0.6579122156177661	glacial_like
S__GCA_015492195.1	prev_3	bicor	M3	2.7299156	2.5559182	0.59823275	1.2202826	0.0	4	0.5592696666717529	4.195370119497975	0.44085954138289885	3.120315	5.01406	52806.742474916435	2	0.6777372606720942	glacial_like
S__GCA_015658585.1	prev_3	bicor	M2	2.2234588	2.2908728	1.327831	-0.015795708	0.0	4	0.5592696666717529	4.18468847256686	0.4329548774888049	3.203925	5.01406	13009.65054347826	2	0.674690698882105	glacial_like
S__GCA_015658965.1	prev_3	bicor	M2	2.2277064	2.3014998	1.3124971	-0.13185978	0.0	4	0.5592696666717529	4.1424355005961315	0.4224857777416454	3.120315	5.01406	28473.91544035671	3	0.6486188929008296	glacial_like
S__GCA_015659035.1	prev_3	bicor	M1	1.9142509	2.2213058	-1.8900446	-0.5347605	0.0	4	0.5592696666717529	4.136251372970613	0.42350211535212434	3.120315	5.01406	397049.4135200669	4	0.6431347804902904	glacial_like
S__GCA_015659465.1	prev_3	bicor	M3	2.6503673	2.4434114	-0.42287397	1.5705137	0.0	4	0.5592696666717529	4.204807626788778	0.437623988752017	3.203925	5.01406	8801.148550724636	2	0.6863868640333093	glacial_like
S__GCA_015659595.1	prev_3	bicor	M1	1.8881216	2.2165983	-1.9227319	-0.6025934	0.0	4	0.5592696666717529	4.158737405063246	0.42896854015838093	3.120315	5.01406	224423.4564994427	4	0.6575707172873447	glacial_like
S__GCA_016276965.1	prev_3	bicor	M4	0.5488911	0.7652527	-0.22143602	-5.248227	0.0	4	0.5592696666717529	4.156757193872018	0.4283017129914193	3.120315	5.01406	1059979.8002814935	4	0.6564363917700584	glacial_like
