taxon	threshold	method	module_kmeans	embedding_1	embedding_2	pca_1	pca_2	module_entropy_proxy	module_count	silhouette	mis_context_mean	mis_context_sd	mis_context_min	mis_context_max	mis_context_weight_sum	mis_context_core_count	mis_context_glacial_fraction	mis_context_class
S__GCA_008975185.1	prev_10	pearson	M1	-0.37459424	-0.4373384	1.0785966	0.24728617	0.0	2	0.397277295589447	4.138874091309038	0.4225420254710089	3.120315	5.01406	77512.64697324412	4	0.6457752217722087	glacial_like
S__GCA_009392475.1	prev_10	pearson	M2	-0.47377005	-0.2816108	0.1988916	0.22313935	0.0	2	0.397277295589447	4.165048954164892	0.4301486601072372	3.120315	5.01406	78632.56656911926	4	0.6616969562508814	glacial_like
S__GCA_009937205.1	prev_10	pearson	M2	-0.3756664	-0.3355164	-1.040829	0.6121881	0.0	2	0.397277295589447	4.16385731565159	0.4290174727615355	3.120315	5.01406	163241.7067865105	4	0.6614535474635223	glacial_like
S__GCA_011055585.1	prev_10	pearson	M2	-0.094895594	-0.29248595	-1.1992626	2.8515267	0.0	2	0.397277295589447	4.146995224969771	0.4257104521072536	3.120315	5.01406	8753947.364476034	4	0.650356923958709	glacial_like
S__GCA_012960805.1	prev_10	pearson	M2	0.0497151	1.3272479	-5.2917714	0.3852178	0.0	2	0.397277295589447	4.1560354844754555	0.42741354555793815	3.120315	5.01406	525677.1884531773	4	0.6563951736170972	glacial_like
S__GCA_012964335.1	prev_10	pearson	M2	-0.2906106	0.123355985	-2.0803313	0.63237953	0.0	2	0.397277295589447	4.166241166647774	0.42957583580499603	3.120315	5.01406	177520.21880434785	4	0.6629349733477053	glacial_like
S__GCA_012964845.1	prev_10	pearson	M2	-0.3841244	0.28539693	-2.3454607	-1.3347088	0.0	2	0.397277295589447	4.194503435605312	0.4364447688235858	3.120315	5.01406	106878.05134057975	3	0.6797561172909807	glacial_like
S__GCA_012974305.1	prev_10	pearson	M2	0.24300157	0.006770253	-2.56266	3.3598058	0.0	2	0.397277295589447	4.127905867659815	0.4230491351949895	3.120315	5.01406	954906.2943143819	3	0.6366958950273577	glacial_like
S__GCA_012974425.1	prev_10	pearson	M1	-0.53444993	-0.21099472	1.2587234	-1.3928769	0.0	2	0.397277295589447	4.167148071572079	0.42913028595975705	3.120315	5.01406	49836.838712374585	3	0.6638762878981455	glacial_like
S__GCA_013203245.1	prev_10	pearson	M2	-0.34821475	0.47328168	-3.0934336	-1.3335987	0.0	2	0.397277295589447	4.1628892901940615	0.42676911990129407	3.203925	5.01406	39334.685326086954	2	0.6620178581462999	glacial_like
S__GCA_013215285.1	prev_10	pearson	M2	-0.041508853	1.6045005	-5.4640217	0.3683965	0.0	2	0.397277295589447	4.177458377948213	0.43363988723857	3.120315	5.01406	1588591.3798885166	4	0.6689634142187769	glacial_like
S__GCA_013390475.1	prev_10	pearson	M1	-0.54851633	-0.9514257	3.0561018	0.8970898	0.0	2	0.397277295589447	4.165099624342719	0.4311014698992703	3.120315	5.01406	1356185.0907441468	4	0.661179716852398	glacial_like
S__GCA_013911135.1	prev_10	pearson	M2	-0.3748439	-0.5592636	0.08838303	2.6529691	0.0	2	0.397277295589447	4.164054169715349	0.43094449418857755	3.120315	5.01406	2961902.793386287	4	0.6604786341141009	glacial_like
S__GCA_014384505.1	prev_10	pearson	M2	-0.09815036	1.2695471	-5.177409	0.5538372	0.0	2	0.397277295589447	4.158429045941986	0.4279720373597932	3.120315	5.01406	292135.1430351171	4	0.6579122156177661	glacial_like
S__GCA_015659035.1	prev_10	pearson	M2	-0.43721715	-0.2564593	0.02035408	0.5325656	0.0	2	0.397277295589447	4.136251372970613	0.42350211535212434	3.120315	5.01406	397049.4135200669	4	0.6431347804902904	glacial_like
S__GCA_015659595.1	prev_10	pearson	M2	0.072431155	0.38635123	-3.705003	1.490156	0.0	2	0.397277295589447	4.158737405063246	0.42896854015838093	3.120315	5.01406	224423.4564994427	4	0.6575707172873447	glacial_like
S__GCA_016276965.1	prev_10	pearson	M2	-0.11418845	1.5784317	-5.6998005	0.14845572	0.0	2	0.397277295589447	4.156757193872018	0.4283017129914193	3.120315	5.01406	1059979.8002814935	4	0.6564363917700584	glacial_like
S__GCA_016777225.1	prev_10	pearson	M2	-0.16798486	0.054511547	-2.5262249	1.8580444	0.0	2	0.397277295589447	4.177886309256089	0.43386623077505415	3.120315	5.01406	425997.37893533957	4	0.6691477060724743	glacial_like
