taxon	threshold	taxon_index	domain	phylum	class	n_samples	n_cores	total_reads	pct_damaged	has_kegg	genome_id	functional_group	display_category	ecological_role	signal_source	tea_primary	guild_tier	confidence_score	assignment_rule_id	kegg_state	group_completeness	modules_scored	module_completeness_detail	markers_detected	marker_gene_names	key_reference	doi	virus_role	mean_clr	sd_clr	mean_abs_clr	max_abs_clr	mean_abundance	prevalence_samples	prevalence_cores
S__3300027997_10	10	32	d__Bacteria	p__Planctomycetota	c__Planctomycetia	25	4	863354	100	TRUE	3300027997_10	Particle_heterotroph	Particle-attached	Unknown	particle_associated	O2	Tier1_taxonomy_conserved	0.85	GTDB_PARTICLE_HET	""		""	""	""	Polysaccharide degradation	Teeling et al. 2012 Science	10.1126/science.1218344	""	-0.331114673586781	2.67383424147484	1.72796233299859	8.72174662946944	638.257009345794	0.144508670520231	1
S__GCA_000213395.2	10	33	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	19	4	337342	100	TRUE	GCA_000213395.2	Pelagic_heterotroph	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_taxonomy_conserved	0.85	GTDB_PELAGIC_HET	""		""	""	""	Core carbon metabolism	Giovannoni 2017 Annu Rev Mar Sci	10.1146/annurev-marine-010814-015934	""	-0.605450766282245	1.76181618505631	1.31286307022035	5.47562329901465	237.626168224299	0.109826589595376	1
S__GCA_000383355.1	10	34	d__Bacteria	p__Bacteroidota	c__Bacteroidia	11	3	767898	100	TRUE	GCA_000383355.1	Core_heterotrophy	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_kegg_present	0.99	KEGG_CORE_HET	present	1	M00307;W00008;W00010;W00011	M00307:1;W00008:0.33;W00010:0;W00011:0.75	""	TCA cycle + glycolysis	Universal heterotrophic metabolism	""	""	-0.938565912898582	1.75214065635753	1.36579919984243	5.98186770947972	99.1121495327103	0.0635838150289017	0.75
S__GCA_000402075.1	10	35	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	24	4	394168	100	TRUE	GCA_000402075.1	Nitrification_AOA	Ammonia oxidizers	Nitrifier	pelagic_export	O2	Tier1_kegg_present	0.895	KEGG_AOA_AMO	present	0.5	M00528	M00528:0.5	K10944	amoA (K10944)	Könneke et al. 2005 Nature	10.1038/nature04066	""	-0.413814455720744	2.05141680293157	1.42278113306777	6.9055875435654	287.789719626168	0.138728323699422	1
S__GCA_001437625.1	10	36	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	55	4	1346852	100	TRUE	GCA_001437625.1	Nitrification_AOA	Ammonia oxidizers	Nitrifier	pelagic_export	O2	Tier1_kegg_present	0.895	KEGG_AOA_AMO	present	0.5	M00528	M00528:0.5	K10944	amoA (K10944)	Könneke et al. 2005 Nature	10.1038/nature04066	""	0.818717018396347	3.10304757733872	2.12867224937996	8.11815128308603	722.504672897196	0.317919075144509	1
S__GCA_001510275.1	10	37	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	12	3	302114	100	TRUE	GCA_001510275.1	Nitrification_AOA	Ammonia oxidizers	Nitrifier	pelagic_export	O2	Tier1_kegg_present	0.895	KEGG_AOA_AMO	present	0.5	M00528	M00528:0.5	K10944	amoA (K10944)	Könneke et al. 2005 Nature	10.1038/nature04066	""	-0.872433794956796	2.23765174572464	1.5678044654194	8.68944143286371	208.144859813084	0.069364161849711	0.75
S__GCA_001542995.1	10	38	d__Bacteria	p__Nitrospinota	c__Nitrospinia	43	4	823119	100	TRUE	GCA_001542995.1	Nitrite_oxidation_NOB	Nitrite oxidizers	Nitrifier	pelagic_export	O2	Tier1_taxonomy_conserved	0.85	GTDB_NOB	""		""	""	""	nxrA/nxrB (K00370/K00371)	Daims et al. 2015 Nature; Koch et al. 2015 PNAS	10.1038/nature16461; 10.1073/pnas.1506533112	""	0.377332828602821	2.86531769193239	1.87058430152556	9.38720046587309	664.85046728972	0.248554913294798	1
S__GCA_001543015.1	10	39	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	106	4	5205072	100	TRUE	GCA_001543015.1	Nitrification_AOA	Ammonia oxidizers	Nitrifier	pelagic_export	O2	Tier1_kegg_present	0.895	KEGG_AOA_AMO	present	0.5	M00528	M00528:0.5	K10944	amoA (K10944)	Könneke et al. 2005 Nature	10.1038/nature04066	""	3.38302250125431	4.27470004843638	4.05320886960382	11.1436348415003	8153.1214953271	0.61271676300578	1
S__GCA_001643535.1	10	40	d__Bacteria	p__Methylomirabilota	c__Methylomirabilia	39	3	900448	100	TRUE	GCA_001643535.1	Core_heterotrophy	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_kegg_present	0.99	KEGG_CORE_HET	present	1	M00307;W00008;W00010;W00011	M00307:1;W00008:0.33;W00010:0;W00011:0.12	""	TCA cycle + glycolysis	Universal heterotrophic metabolism	""	""	0.286338697933523	3.71192892232093	2.43497677943907	10.2651232345906	1004.45327102804	0.225433526011561	0.75
S__GCA_002082295.1	10	41	d__Bacteria	p__SAR324	c__SAR324	19	3	989576	100	TRUE	GCA_002082295.1	Core_heterotrophy	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_kegg_present	0.99	KEGG_CORE_HET	present	1	M00307;W00008;W00010;W00011	M00307:1;W00008:0.33;W00010:1;W00011:0.5	""	TCA cycle + glycolysis	Universal heterotrophic metabolism	""	""	-0.619176571983949	1.96106033847469	1.40071984700386	7.61631790888121	233.644859813084	0.109826589595376	0.75
S__GCA_002295725.1	10	42	d__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	10	4	690189	100	TRUE	GCA_002295725.1	Core_heterotrophy	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier2_kegg_partial	0.6	KEGG_CORE_HET	""		""	""	""	TCA cycle + glycolysis	Universal heterotrophic metabolism	""	""	-0.961880363065652	1.97068403068095	1.45423523592152	8.0754509835211	211.626168224299	0.0578034682080925	1
S__GCA_002313235.1	10	43	d__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	13	4	458803	100	TRUE	GCA_002313235.1	Unknown	Other	Unknown	uncertain	Unknown	Tier3_unknown	0.1	""	""		""	""	""	""	""	""	""	-0.850625789082027	1.78322352953387	1.35239927851275	6.6980472411216	156.593457943925	0.0751445086705202	1
S__GCA_002317795.1	10	44	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	50	4	1004599	100	TRUE	GCA_002317795.1	Nitrification_AOA	Ammonia oxidizers	Nitrifier	pelagic_export	O2	Tier1_kegg_present	0.895	KEGG_AOA_AMO	present	0.5	M00528	M00528:0.5	K10944	amoA (K10944)	Könneke et al. 2005 Nature	10.1038/nature04066	""	0.649603354964301	3.21853079792612	2.1388517069954	9.43834664499324	871.981308411215	0.289017341040462	1
S__GCA_002335045.1	10	45	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	11	3	120675	100	TRUE	GCA_002335045.1	Sulfate_reduction_diagenetic	Diagenetic	Diagenetic_SRB	diagenetic_in_situ	SO4--	Tier1_kegg_present	0.99	KEGG_SRB	present	1	M00596	M00596:1	K11180;K11181	dsrA/dsrB (K11180/K11181)	Müller et al. 2015 ISME J	10.1038/ismej.2014.208	""	-0.92721728630854	1.74749556233806	1.35963261255733	7.36395027328443	128.654205607477	0.0635838150289017	0.75
S__GCA_002499015.1	10	46	d__Archaea	p__Thermoplasmatota	c__Poseidoniia	39	4	1360969	100	TRUE	GCA_002499015.1	Pelagic_heterotroph_MGII	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_taxonomy_conserved	0.85	GTDB_MGII	""		""	""	""	GTDB c__Poseidoniia	Rinke et al. 2019 ISME J; Zhang et al. 2015 Front Microbiol	10.1038/s41396-018-0282-y; 10.3389/fmicb.2015.01108	""	0.228390995953436	2.84540788131892	1.88073266091368	7.34844800713862	775.654205607477	0.225433526011561	1
S__GCA_003229345.1	10	47	d__Bacteria	p__Nitrospinota	c__Nitrospinia	10	4	468325	100	TRUE	GCA_003229345.1	Core_heterotrophy	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_kegg_present	0.99	KEGG_CORE_HET	present	1	M00307;W00008;W00010;W00011	M00307:1;W00008:0.33;W00010:0;W00011:0.25	""	TCA cycle + glycolysis	Universal heterotrophic metabolism	""	""	-0.961259842807253	2.09067083209441	1.51299526360184	9.22905308216725	176.294392523364	0.0578034682080925	1
S__GCA_003331785.1	10	48	d__Bacteria	p__Cyanobacteria	c__Cyanobacteriia	19	4	387473	100	TRUE	GCA_003331785.1	Oxygenic_photosynthesis	Cyanobacteria	Primary_producer	pelagic_export	O2	Tier1_taxonomy_conserved	0.85	GTDB_CYANO	""		""	""	""	psbA (K02703)	Falkowski & Raven 2007 Aquatic Photosynthesis	10.1515/9781400849727	""	-0.58505133970883	2.47639829607952	1.6565743881332	7.34489668259918	323.238317757009	0.109826589595376	1
S__GCA_003526595.1	10	49	d__Bacteria	p__Nitrospinota	c__Nitrospinia	26	4	493378	100	TRUE	GCA_003526595.1	Nitrite_oxidation_NOB	Nitrite oxidizers	Nitrifier	pelagic_export	O2	Tier1_taxonomy_conserved	0.85	GTDB_NOB	""		""	""	""	nxrA/nxrB (K00370/K00371)	Daims et al. 2015 Nature; Koch et al. 2015 PNAS	10.1038/nature16461; 10.1073/pnas.1506533112	""	-0.311273162603619	2.25385839575309	1.51679584031347	7.50299840330266	450.401869158879	0.15028901734104	1
