from	to	threshold	weight	abs_weight	method	method_suffix	estimator	aracne_eps	core
S__IMGVR_UViG_3300027813_000042	S__IMGVR_UViG_3300025071_000006	5	0.217485323285034	0.217485323285034	mi_aracne	mi_aracne	spearman	0	ST13
S__Phycodnaviridae_HM004430_Bathycoccus_sp_RCC1105_virus_BpV2	S__IMGVR_UViG_3300025071_000006	5	0.269459761989383	0.269459761989383	mi_aracne	mi_aracne	spearman	0	ST13
S__IMGVR_UViG_3300027813_000042	S__IMGVR_UViG_3300025860_000061	5	0.141753296019728	0.141753296019728	mi_aracne	mi_aracne	spearman	0	ST13
S__IMGVR_UViG_GVMAG-M-3300025652-16_000001	S__IMGVR_UViG_3300025860_000061	5	0.143696349839455	0.143696349839455	mi_aracne	mi_aracne	spearman	0	ST13
S__GCA_905612275.1	S__GCA_008975185.1	5	0.10318959653985	0.10318959653985	mi_aracne	mi_aracne	spearman	0	ST13
S__3300027752_17	S__GCA_905182795.1	5	0.218783359590354	0.218783359590354	mi_aracne	mi_aracne	spearman	0	ST13
S__GCA_905182235.1	S__GCA_905182795.1	5	0.60829756497389	0.60829756497389	mi_aracne	mi_aracne	spearman	0	ST13
S__GCA_905182885.1	S__GCA_905182795.1	5	0.388193327519151	0.388193327519151	mi_aracne	mi_aracne	spearman	0	ST13
S__GCA_905182795.1	S__IMGVR_UViG_GVMAG-S-1102114-126_000001	5	0.168966710864334	0.168966710864334	mi_aracne	mi_aracne	spearman	0	ST13
S__IMGVR_UViG_3300020182_000036	S__IMGVR_UViG_GVMAG-S-1102114-126_000001	5	0.0546039220006397	0.0546039220006397	mi_aracne	mi_aracne	spearman	0	ST13
S__3300020330_9	S__GCA_009392475.1	5	0.98604488628535	0.98604488628535	mi_aracne	mi_aracne	spearman	0	ST13
S__GCA_015659035.1	S__GCA_009392475.1	5	3.32184066318585	3.32184066318585	mi_aracne	mi_aracne	spearman	0	ST13
S__GCA_001543015.1	S__IMGVR_UViG_3300024520_000070	5	0.177352567613171	0.177352567613171	mi_aracne	mi_aracne	spearman	0	ST13
S__GCA_017854145.1	S__IMGVR_UViG_3300024520_000070	5	0.176003309667694	0.176003309667694	mi_aracne	mi_aracne	spearman	0	ST13
S__GCA_012960805.1	S__IMGVR_UViG_3300024520_000070	5	0.119603475824809	0.119603475824809	mi_aracne	mi_aracne	spearman	0	ST13
S__GCA_905181595.1	S__IMGVR_UViG_3300024520_000070	5	0.173245383825394	0.173245383825394	mi_aracne	mi_aracne	spearman	0	ST13
S__IMGVR_UViG_3300027687_000007	S__TARA_SOC_NCLDV_00026	5	0.105628423116877	0.105628423116877	mi_aracne	mi_aracne	spearman	0	ST13
S__3300024058_22	S__TARA_SOC_NCLDV_00026	5	0.124112501164192	0.124112501164192	mi_aracne	mi_aracne	spearman	0	ST13
S__GCA_905478185.1	S__TARA_SOC_NCLDV_00026	5	0.0994885159642826	0.0994885159642826	mi_aracne	mi_aracne	spearman	0	ST13
S__GCA_905612295.1	S__TARA_SOC_NCLDV_00026	5	0.173994235642338	0.173994235642338	mi_aracne	mi_aracne	spearman	0	ST13
S__GCA_013215285.1	S__TARA_SOC_NCLDV_00026	5	0.131840756126538	0.131840756126538	mi_aracne	mi_aracne	spearman	0	ST13
S__TARA_SOC_NCLDV_00026	S__IMGVR_UViG_3300031688_001339	5	0.0599281091951331	0.0599281091951331	mi_aracne	mi_aracne	spearman	0	ST13
S__GCA_014384505.1	S__GCA_001510275.1	5	0.202586816252482	0.202586816252482	mi_aracne	mi_aracne	spearman	0	ST13
S__GCA_009392475.1	S__GCA_001510275.1	5	0.958648470782019	0.958648470782019	mi_aracne	mi_aracne	spearman	0	ST13
S__GCA_905182885.1	S__IMGVR_UViG_3300031687_001020	5	0.173162330562318	0.173162330562318	mi_aracne	mi_aracne	spearman	0	ST13
S__IMGVR_UViG_3300031519_000018	S__GCA_905182775.1	5	0.243735867544516	0.243735867544516	mi_aracne	mi_aracne	spearman	0	ST13
