sample	PC1	PC2	PC3	PC4	PC5	label	core	flowcell	depth_in_core_cm	y_bp	library_concentration	temp	temp_method	mis	initial	avg_leng_initial	derep	avg_len_derep	sst	age_kyr	total_tax_abund_tad	detected_taxa_tad	total_n_reads	total_n_reads_tad	total_tax_abund_read	total_tax_abund_aln	threshold	log_total_tax_abund_tad	log_total_n_reads	log_total_n_reads_tad
LV3003046952	-24.7417558077426	7.25142819740693	26.9139539450432	-9.35742639560909	-4.76337842007467	LV3003046952	ST8		50	10260	116.29	4.62794382549722	mgca_jonkers_2013	3.5408	88430474	83.4	60192917	86	6.52726089941695	10.26	153172	46	270396	146879	243816	249992	10	5.18518221840086	5.43200186888693	5.16696266385717
LV3003046938	-25.0036392536971	8.48038073238422	29.6654310709475	-3.92677406688534	-8.41658404493426	LV3003046938	ST8		55	11169	92.71	4.63006993265698	mgca_jonkers_2013	3.65408	135351707	83.8	73358025	85.5	6.64060093364877	11.169	172589	52	326962	172355	285834	293768	10	5.23701562874516	5.51449860952574	5.23642640652282
LV3003061506	-0.865895516632274	-3.61513716444217	-8.05790953102823	-4.99070680994968	-3.52842930937155	LV3003061506	ST13		40	11950	164.07		""	3.904	63589346	59.2	48096504	60.6	6.73798109507347	11.95	57678	14	242171	80355	145860	150265	10	4.76101772226882	5.38412392845009	4.90501831009259
LV3003047044	3.46578694918876	-1.3427463629862	5.44816583698236	1.2421275954032	-3.14392563654875	LV3003047044	ST8		60	12078	46.49	4.63219603981674	mgca_jonkers_2013	3.93092	63682406	81.2	26806847	83.3	6.75394096788059	12.078	48888	19	162305	52885	122249	125267	10	4.68921115407865	5.21033457477834	4.72334072066578
LV3003047027	-18.0978765981429	12.8586041083637	25.6815016799331	-0.283830591946131	-9.51078857236118	LV3003047027	ST8		65	12877	149.32	5.04178088906654	mgca_jonkers_2013	4.04278	166139455	84.4	112662581	86.9	6.85356548641879	12.877	211997	59	369391	207397	330155	336967	10	5.32633176379167	5.56748748559941	5.31680456404361
LV3003047010	-21.0624946081665	11.9622000234139	25.6175426303513	-10.3416136502703	-11.2621501669641	LV3003047010	ST8		70	13676	131.81	5.45136573831635	mgca_jonkers_2013	4.20872	124044083	83.1	98890535	85.9	6.95319000495699	13.676	173896	48	360427	192788	283012	291044	10	5.24029208979636	5.55681852196614	5.2850822506478
LV3003061492	38.0986114324925	1.44346827671887	6.23626057125398	-10.8792217533622	9.86638636381931	LV3003061492	ST13		45	14437	376.09		""	4.37177	119240881	67.3	80494467	68	7.04807643625558	14.437	742995	110	1279250	890539	996008	1013015	10	5.87098647569516	6.10695576513551	5.94965343125477
LV3003046994	-6.05499573167009	-7.50604891909519	-12.8836708525717	-4.12888281568382	4.58886181990755	LV3003046994	ST8		79.5	15549	87.72	4.99039754502124	mgca_jonkers_2013	4.63274	71148178	57.2	33076881	57.9	7.18672783126745	15.549	109042	13	313754	160658	196731	206525	10	5.03759779133655	5.49659065546155	5.20590505942912
LV7008886727	32.9461752088983	3.06492400694716	4.66991000293884	-5.80018517348081	0.733089476793926	LV7008886727	GeoB25202_R1		59.5	16437.5	79.12	7.29751179212	uk37_alkenone	4.806875	181407355	47.9	57424152	48.6	7.29751179212	16.4375	236600	60	646000	314978	451226	460959	10	5.3740165758522	5.81023319027704	5.498281599859
LV7008886739	39.9146140989777	0.223640961421342	8.830463323249	-8.71636298122182	3.44920220018691	LV7008886739	GeoB25202_R2		59.5	16437.5	82.56	7.29751179212	uk37_alkenone	4.806875	201287627	49.7	67761404	50.8	7.29751179212	16.4375	450610	86	978588	582199	718513	734245	10	5.65380178920981	5.99060032968863	5.76507220110279
LV3003046979	-2.71149407075942	14.6311232981416	2.18143026139859	-4.52022029420395	1.09930349522684	LV3003046979	ST8		84.5	16461	131.92	4.74778270644487	mgca_jonkers_2013	4.80993	62932113	71.5	35885630	73.7	7.29869936048704	16.461	139167	37	322172	152817	253478	261628	10	5.14353938598524	5.50808914116591	5.18417451157126
LV3003061477	37.5935900072821	3.24451709400341	9.49776271461913	-6.88371421415947	12.9575964062752	LV3003061477	ST13		50	16726	301.74		""	4.84438	125495327	67.8	84929726	70.8	7.31209108888136	16.726	774397	114	1419643	1006481	1040045	1056758	10	5.88896422267058	6.15217945127084	6.00280601233886
LV3003046966	16.5992249958321	8.96139915645059	3.8612719799268	-5.18498467629217	-5.85805639658604	LV3003046966	ST8		89.5	17373	104.95	4.50516786786849	mgca_jonkers_2013	4.93222	64053262	73.4	33174625	75	7.34478712009314	17.373	165052	48	371258	193022	276694	283404	10	5.21762342246582	5.56967699054873	5.28560906122511
LV3003046950	28.9847406919737	4.6435870373945	7.75480993977693	-5.49662196510329	-1.48075846889658	LV3003046950	ST8		94.5	18099	104.24	2.39521562696755	mgca_jonkers_2013	5.01406	54550611	72.2	30319286	73.7	7.38147540241116	18.099	204526	61	413113	221057	334598	341045	10	5.31075064817219	5.61606991301029	5.3445062364687
LV3003046937	11.5370263629531	8.65630046064269	0.400436818862923	-0.635094879456931	-10.5680893970634	LV3003046937	ST8		99.5	18598	100.16	2.93302273038462	mgca_jonkers_2013	4.98412	37032447	66.6	19341245	67.9	7.40669227965178	18.598	105182	25	346289	148763	219468	224924	10	5.02194555347939	5.53943995037844	5.17249784725196
LV3003047041	36.630215439221	2.80853063610131	-2.62907744158063	-7.344590277141	5.61555966483762	LV3003047041	ST8		104.5	19097	105.88	3.47082983380169	mgca_jonkers_2013	4.96291	92918951	73.6	51583899	75.3	7.4319091568924	19.097	453906	93	932409	617210	640872	655454	10	5.65696688033688	5.96960692263654	5.79043365750247
LV3003061572	38.6845053405674	0.793356204428057	9.62938742679509	-6.67818463513891	9.97722670101263	LV3003061572	ST13		55	19099	341.81		""	4.96297	148847098	75.5	75948836	100.4	7.43201022654066	19.099	624312	110	1087627	751496	854976	868155	10	5.79540237829103	6.03648037957836	5.87592725120896
LV3003047026	10.935176027518	-11.3553059359814	-21.2054745520888	-8.21493431433791	5.44138455485627	LV3003047026	ST8		109.5	19565	12.35	2.88473711426933	mgca_jonkers_2013	4.97695	948154669	61.9	126124116	64.1	7.455559454585	19.565	489761	68	835934	485200	775651	803273	10	5.68998508574883	5.92217250921078	5.68592168727705
LV3003047009	7.19602172862345	-5.87566779025939	-12.8329376015548	-6.2977525429117	-3.41303760862508	LV3003047009	ST8		114.5	20142	99.94	3.12499528201102	mgca_jonkers_2013	4.97864	78281501	64.3	50491740	64.7	7.48471804810772	20.142	169468	32	351041	182129	287512	298594	10	5.22909026678553	5.54535908021803	5.26038148759261
LV3003046993	4.45117221685015	3.15729761281042	0.660199146349631	-9.18713680194124	9.80691727494891	LV3003046993	ST8		119.5	20719	108.7	3.36525344975272	mgca_jonkers_2013	4.93248	230108757	68.3	100382437	69.6	7.51387664163044	20.719	377709	84	543515	300652	595819	613703	10	5.57715848307303	5.73521233335227	5.47806554171535
LV3003061559	10.6839011927218	11.760401183703	-6.36110787021806	-3.02604787553809	-6.81706107956318	LV3003061559	ST13		60	21069	362.3		""	4.90793	96182866	67.5	57351399	75.1	7.53156383007576	21.069	140462	39	410258	182540	274418	282913	10	5.1475619398138	5.61305811710469	5.26136042536194
LV3003046978	30.9172850318762	6.14047067954105	-0.601532846866955	-1.30705207399059	0.368272122852732	LV3003046978	ST8		124.5	21296	113.8	3.60551161749441	mgca_jonkers_2013	4.90112	72686612	55.3	49044465	56.1	7.54303523515316	21.296	355413	65	809814	478842	546047	565559	10	5.55073453096223	5.90838581683459	5.68019314303806
LV3003046965	39.5907780209573	-0.134731682697129	8.06048735072269	-6.15442363515023	7.56090431167531	LV3003046965	ST8		129.5	21832.3333333333	73.24	3.13112604739667	mgca_jonkers_2013	4.88503	123105827	60	61272397	60.7	7.57013874582794	21.8323333333333	637605	106	1130125	756156	902221	922742	10	5.80455239520523	6.05312686654017	5.87861197692272
LV3003046949	34.8374164421157	5.87760707934856	3.23511146475167	-0.32252623893819	4.2184191990032	LV3003046949	ST8		134.5	22368.6666666667	140.56	2.65674047729892	mgca_jonkers_2013	4.87262666666667	61245129	56.4	37969700	57.8	7.59724225650273	22.3686666666667	354163	69	780549	511862	511438	524603	10	5.5492044140084	5.89240072806287	5.70915373772257
LV3003046936	42.2873370054536	-3.30056793559115	3.62678246208415	-3.56334828200025	4.36783711771061	LV3003046936	ST8		139.5	22905	189.42	2.18235490720117	mgca_jonkers_2013	4.8619	152063717	62.8	56886217	63.9	7.62434576717752	22.905	547481	97	1025688	671909	778858	796499	10	5.73836984510269	6.01101569795077	5.827311104719
LV3003061545	22.903654356778	13.3232072471523	1.08144512280932	-4.55950301349583	-3.11545349910817	LV3003061545	ST13		65	23172	284.94		""	4.8514	110691172	77.3	54077025	90.3	7.63783856522009	23.172	206154	56	497170	277520	333709	340580	10	5.31419387246785	5.69650578829767	5.44329585174356
LV3003047145	15.718797468121	6.96202325276697	-6.38612809336704	-5.30791015911899	-4.84327980856962	LV3003047145	ST8		144.5	23446	279.12	3.07806968232358	mgca_jonkers_2013	4.8377	33473724	69.7	25529607	71.1	7.65168510703157	23.446	151878	42	354097	175239	265863	273301	10	5.18149772900034	5.54912347380297	5.24363324450614
