label	core	flowcell	depth_in_core_cm	y_bp	library_concentration	temp	temp_method	mis	initial	avg_leng_initial	derep	avg_len_derep	sst	age_kyr	total_tax_abund_tad	detected_taxa_tad	total_n_reads	total_n_reads_tad	total_tax_abund_read	total_tax_abund_aln	threshold	sample	log_total_tax_abund_tad	log_total_n_reads	log_total_n_reads_tad
LV7008886229	GeoB25202_R2		167.5	68149	132.24	8.09207392775	uk37_alkenone	4.42745	116981055	44.2	41819821	45.4	8.09207392775	68.149	378646	58	915652	484690	650140	681026	5	LV7008886229	5.57823452028223	5.96173092264533	5.68546495558695
LV7008886778	GeoB25202_R1		167.5	68149	72.83	8.09207392775	uk37_alkenone	4.42745	72287871	47.2	32290184	48	8.09207392775	68.149	330004	56	753848	381843	576589	591085	5	LV7008886778	5.51852052004746	5.87728436306581	5.5818859708261
LV3003047134	ST8		454.2	68807	41.22	5.90768100819097	mgca_jonkers_2013	4.46035	108020076	64.7	16261207	70.5	8.5256420642359	68.807	49209	19	170648	28008	160224	164178	5	LV3003047134	4.69205336503408	5.23210374766444	4.44729760356707
LV3003047133	ST8		459.2	70162	57.68	5.78064895406092	mgca_jonkers_2013	4.3038	58661945	62.9	13264329	66	9.41847614468938	70.162	26549	9	182424	29899	121778	125666	5	LV3003047133	4.42406452541749	5.26108435492471	4.47567118832443
LV3003061515	ST13		164.8	71001.2	490.61	7.99066956429404	mgca_jonkers_2013	4.219988	98734597	71.1	67640910	73.4	9.97144024824405	71.0012	764281	121	1110551	705790	1089231	1108242	5	LV3003061515	5.88325363141184	6.04553889857502	5.84867611608791
LV3003047107	ST8		464.2	71517	80.3	5.65361689993088	mgca_jonkers_2013	4.21483	51573373	66.1	14724119	69.8	10.3113102251429	71.517	34710	13	189328	34628	129495	133497	5	LV3003047107	4.54046712557651	5.27721714103911	4.53943995037844
LV7008886754	GeoB25202_R1		173.5	71889.5	93.18	10.5567572325	uk37_alkenone	4.211105	95700354	45.2	38747528	46.3	10.5567572325	71.8895	300903	56	743681	348832	564888	587811	5	LV7008886754	5.47842796097498	5.87138726999726	5.54261756295773
LV7008886766	GeoB25202_R2		173.5	71889.5	126.44	10.5567572325	uk37_alkenone	4.211105	78971219	43.7	39085954	44.9	10.5567572325	71.8895	368073	65	831447	429789	646164	674173	5	LV7008886766	5.56593514084974	5.91983509297918	5.6332563064664
LV3003047125	ST8		469.2	72872	32.35	5.52658484580083	mgca_jonkers_2013	4.22744	36807425	62	6069589	66	9.79667019017442	72.872	12275	5	84429	13622	56740	58884	5	LV3003047125	4.08905687975979	4.92649678927322	4.13427275662063
LV3003061503	ST13		169.8	73147.2	217.76	7.64208514608633	mgca_jonkers_2013	4.20056	97446873	68.6	49665279	71.4	9.58376845577441	73.1472	375360	66	868867	484856	608718	624421	5	LV3003061503	5.57444914744179	5.93895380265581	5.6856136700079
